Feature 1,Feature 2,Cluster
4.5113413247891705,0.0913206384430929,1
5.1813415644328895,2.732324844243379,1
3.28880447002008,0.6507117271971619,1
-6.933532040157009,-7.862413173653262,2
-4.888073888946536,-7.7121708981258035,2
-5.744007043968326,-7.986403105687581,2
-8.24794222998408,-4.892833594045139,2
4.1660394891571855,1.958717413062453,1
-3.3381926339748227,8.454105088001354,0
-5.69990198279056,-6.686001962322589,2
-6.695792674828766,-4.18707592929545,2
-3.4997339481834384,8.447988398595552,0
-7.618998598610307,-5.688210258862374,2
-5.661668038845711,-7.393305957789343,2
-1.3197271341281096,7.786678313061331,0
-1.4355658731929781,7.987770828787263,0
5.188762671545466,1.718213890387034,1
4.033178541462805,2.1844533762202047,1
4.393816348098153,1.1299230886245406,1
-5.658805892338222,-7.756883374487791,2
-5.979228602756207,-6.428884273957438,2
4.621170079782204,1.5846512308518461,1
-5.965855569765685,-8.42583937996668,2
-2.768788974416355,7.511143175080218,0
-4.783783689342111,-5.28566720152675,2
4.987555319766438,1.4859411198271797,1
5.833988239275474,0.9920041528010504,1
-3.7094940301085266,8.679784892357375,0
-3.6015103877253294,8.697877678503522,0
-3.3445446763125073,11.159435255971712,0
-7.726478157276635,-5.63049068797928,2
-2.2951038789225464,7.768547349486335,0
-5.047070147672068,-6.0659578311576805,2
-6.454137257911039,-5.682862669630719,2
5.839957792654962,1.481267236434527,1
5.140544557609311,2.022943371121692,1
-6.097497189619811,-7.6710089749435,2
-2.9726153158652124,8.548556374628067,0
-2.699880023816097,9.231719001378046,0
-2.383973120404843,8.584880587073071,0
5.121744897946593,2.520434481318699,1
6.062626972328042,2.899385086182324,1
5.956993903567967,1.8551011569496532,1
5.511176133685345,0.6271900036939835,1
-6.323074066617512,-8.215591162375837,2
-6.49330387333971,-7.084580814262068,2
-0.9860735457830929,9.553196171882982,0
-3.4076122944011082,9.50620529970483,0
-1.6860270390908356,9.087604095386727,0
-7.00728187266946,-7.440717230123257,2
